city,station_id,date,observation_count,n_pocs,min_observation_percent,latitude,longitude,distance_km,no2_ppb
Atlanta,13-121-0056,2019-02-28,24,1,100.0,33.7784,-84.3914,3.284209060611107,17.3875
Atlanta,13-089-0002,2019-03-01,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.716667
Atlanta,13-089-0003,2019-03-01,24,1,100.0,33.698643,-84.272614,12.051165952298387,8.15
Atlanta,13-121-0056,2019-03-01,24,1,100.0,33.7784,-84.3914,3.284209060611107,10.620833
Atlanta,13-089-0002,2019-03-02,24,1,100.0,33.6878,-84.2905,11.297304120542412,7.216667
Atlanta,13-089-0003,2019-03-02,24,1,100.0,33.698643,-84.272614,12.051165952298387,10.016667
Atlanta,13-121-0056,2019-03-02,24,1,100.0,33.7784,-84.3914,3.284209060611107,9.825
Atlanta,13-089-0002,2019-03-03,19,1,79.0,33.6878,-84.2905,11.297304120542412,7.731579
Atlanta,13-089-0003,2019-03-03,22,1,92.0,33.698643,-84.272614,12.051165952298387,10.886364
Atlanta,13-121-0056,2019-03-03,21,1,88.0,33.7784,-84.3914,3.284209060611107,13.400000000000002
Atlanta,13-089-0002,2019-03-04,24,1,100.0,33.6878,-84.2905,11.297304120542412,5.491667
Atlanta,13-089-0003,2019-03-04,24,1,100.0,33.698643,-84.272614,12.051165952298387,12.125
Atlanta,13-121-0056,2019-03-04,24,1,100.0,33.7784,-84.3914,3.284209060611107,8.279167
Atlanta,13-089-0002,2019-03-05,24,1,100.0,33.6878,-84.2905,11.297304120542412,6.291667
Atlanta,13-089-0003,2019-03-05,24,1,100.0,33.698643,-84.272614,12.051165952298387,14.133333
Atlanta,13-121-0056,2019-03-05,24,1,100.0,33.7784,-84.3914,3.284209060611107,13.145833000000001
Atlanta,13-089-0002,2019-03-06,24,1,100.0,33.6878,-84.2905,11.297304120542412,11.8125
Atlanta,13-089-0003,2019-03-06,24,1,100.0,33.698643,-84.272614,12.051165952298387,21.345833
Atlanta,13-121-0056,2019-03-06,24,1,100.0,33.7784,-84.3914,3.284209060611107,14.625
Atlanta,13-089-0002,2019-03-07,24,1,100.0,33.6878,-84.2905,11.297304120542412,20.304167
Atlanta,13-089-0003,2019-03-07,24,1,100.0,33.698643,-84.272614,12.051165952298387,23.037500000000005
Atlanta,13-121-0056,2019-03-07,24,1,100.0,33.7784,-84.3914,3.284209060611107,26.966667
Atlanta,13-089-0002,2019-03-08,24,1,100.0,33.6878,-84.2905,11.297304120542412,9.854167
Atlanta,13-089-0003,2019-03-08,24,1,100.0,33.698643,-84.272614,12.051165952298387,15.679167
Atlanta,13-121-0056,2019-03-08,24,1,100.0,33.7784,-84.3914,3.284209060611107,26.225000000000005
Atlanta,13-089-0002,2019-03-09,24,1,100.0,33.6878,-84.2905,11.297304120542412,4.4625
Atlanta,13-089-0003,2019-03-09,24,1,100.0,33.698643,-84.272614,12.051165952298387,10.0
Atlanta,13-121-0056,2019-03-09,24,1,100.0,33.7784,-84.3914,3.284209060611107,16.395833
Atlanta,13-089-0002,2019-03-10,19,1,79.0,33.6878,-84.2905,11.297304120542412,12.057895
Atlanta,13-089-0003,2019-03-10,22,1,92.0,33.698643,-84.272614,12.051165952298387,16.945455
Atlanta,13-121-0056,2019-03-10,21,1,88.0,33.7784,-84.3914,3.284209060611107,14.485714
Atlanta,13-089-0002,2019-03-11,24,1,100.0,33.6878,-84.2905,11.297304120542412,16.770833
