model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_compound,days_heat_only,days_wind_only
four_weather_regimes,Denver,heat_only_vs_reference,0.5410948023864437,-0.7249617646358717,1.807151369408759,approximate_delete_one_year_jackknife_t,-0.27235859921908057,1.4863636735946089,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,14,14,248.9016415074399,3.350882460691627,49,215,366
four_weather_regimes,Denver,wind_only_vs_reference,1.4879956910545613,0.7641064688090473,2.211884913300075,approximate_delete_one_year_jackknife_t,0.9401164972611282,1.975632296659853,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,14,14,248.9016415074399,3.350882460691627,49,215,366
four_weather_regimes,Denver,compound_additive_interaction,-0.764534236079321,-2.063578928553932,0.5345104563952903,approximate_delete_one_year_jackknife_t,-1.7000978393052342,0.2723046556503448,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,14,14,248.9016415074399,3.350882460691627,49,215,366
four_weather_regimes,Houston,compound_vs_reference,1.705634334462991,1.0185478473470022,2.3927208215789797,approximate_delete_one_year_jackknife_t,1.0842655960913086,2.215899824442063,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,14,14,454.07500943847015,3.1750158080306945,124,201,302
four_weather_regimes,Houston,heat_only_vs_reference,-1.239482703271966,-2.9094464059129357,0.43048099936900375,approximate_delete_one_year_jackknife_t,-2.3250073627920416,-0.1521881331968884,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,14,14,454.07500943847015,3.1750158080306945,124,201,302
four_weather_regimes,Houston,wind_only_vs_reference,3.7578061409285386,3.205022816962225,4.310589464894853,approximate_delete_one_year_jackknife_t,3.298479295179061,4.110854429007514,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,14,14,454.07500943847015,3.1750158080306945,124,201,302
four_weather_regimes,Houston,compound_additive_interaction,-0.8126891031935817,-2.0015593063859276,0.37618109999876426,approximate_delete_one_year_jackknife_t,-1.6768519281348766,-0.030945116188776378,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,14,14,454.07500943847015,3.1750158080306945,124,201,302
four_weather_regimes,Los Angeles,compound_vs_reference,3.066041852799901,2.078960273751899,4.0531234318479035,approximate_delete_one_year_jackknife_t,2.100764705737883,3.676512424841437,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,14,14,847.010620095949,3.232984829218987,134,105,316
four_weather_regimes,Los Angeles,heat_only_vs_reference,0.9382551165166348,0.018896528397352452,1.8576137046359174,approximate_delete_one_year_jackknife_t,0.2801814915436751,1.624029345894964,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,14,14,847.010620095949,3.232984829218987,134,105,316
four_weather_regimes,Los Angeles,wind_only_vs_reference,2.3937020252430505,1.3014890000442207,3.4859150504418803,approximate_delete_one_year_jackknife_t,1.6491987291023835,3.3203886065367496,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,14,14,847.010620095949,3.232984829218987,134,105,316
four_weather_regimes,Los Angeles,compound_additive_interaction,-0.2659152889597842,-1.3455293214103465,0.8136987434907781,approximate_delete_one_year_jackknife_t,-1.20758249413894,0.363888853460715,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,14,14,847.010620095949,3.232984829218987,134,105,316
four_weather_regimes,New York,compound_vs_reference,4.443359426097052,3.2887379260470873,5.597980926147017,approximate_delete_one_year_jackknife_t,3.564056016474449,5.187467104480189,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,14,14,224.0650914340113,3.759682664607332,102,138,308
four_weather_regimes,New York,heat_only_vs_reference,1.186215370999086,0.7030945504889528,1.669336191509219,approximate_delete_one_year_jackknife_t,0.8862597963757435,1.4742128402548984,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,14,14,224.0650914340113,3.759682664607332,102,138,308
four_weather_regimes,New York,wind_only_vs_reference,4.405072032406048,3.8121550613173403,4.997989003494756,approximate_delete_one_year_jackknife_t,3.9939307906621107,4.753735874415975,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,14,14,224.0650914340113,3.759682664607332,102,138,308
four_weather_regimes,New York,compound_additive_interaction,-1.1479279773080822,-2.839867316515851,0.5440113618996865,approximate_delete_one_year_jackknife_t,-2.397941481157366,-0.07167510516609243,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,14,14,224.0650914340113,3.759682664607332,102,138,308
