model,contrast,status,estimate_ppb,ci_lower,ci_upper,ci_method,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,n_cities,n_estimable_cities,positive_cities,valid_bootstrap,requested_bootstrap,bootstrap_failure_fraction,leave_city_min,leave_city_max,year_start,year_end,station_days,city_days,episode_city_days,episodes,synchronized_conditional_lower,synchronized_conditional_upper,synchronized_valid_bootstrap
direct_calendar_support,episode_vs_reference,estimable,3.1651493696151904,1.7620135703703825,4.568285168859998,approximate_cross_city_t_df_10,1.1436482943121,4.566161894443151,conditional_on_estimability,11,11,10,3634,5000,0.2732,2.735616998116816,3.5097963913042607,2019,2024,7617,1578,406,178,,,
direct_calendar_support,heat_only_vs_reference,estimable,0.662789361681604,-0.34126645034998815,1.6668451737131962,approximate_cross_city_t_df_10,-0.534214152085508,1.754160372216953,conditional_on_estimability,11,11,7,3501,5000,0.29979999999999996,0.45277918720775984,0.9460227433010363,2019,2024,7617,1578,406,178,,,
direct_calendar_support,wind_only_vs_reference,estimable,2.4625422933133794,1.6437955586413031,3.281289027985456,approximate_cross_city_t_df_10,0.8781611705377096,3.518558486397455,conditional_on_estimability,11,11,11,3634,5000,0.2732,2.288154638391712,2.689554409406866,2019,2024,7617,1578,406,178,,,
direct_calendar_support,other_compound_vs_reference,unavailable: at least one city contrast is not identifiable,,,,approximate_cross_city_t_df_10,,,conditional_on_estimability,11,10,9,822,5000,0.8356,,,2019,2024,7617,1578,406,178,,,
direct_calendar_support,episode_vs_heat_only,estimable,2.502360007933586,1.5870927168165152,3.417627299050657,approximate_cross_city_t_df_10,1.0682679095601084,3.4255524388545977,conditional_on_estimability,11,11,11,3501,5000,0.29979999999999996,2.282837810909056,2.7127519761685575,2019,2024,7617,1578,406,178,,,
direct_calendar_support,episode_vs_wind_only,estimable,0.702607076301811,-0.3592851343618094,1.7644992869654312,approximate_cross_city_t_df_10,-1.7682472068721669,2.351553911146107,conditional_on_estimability,11,11,9,3634,5000,0.2732,0.3430326403092116,1.015947306577567,2019,2024,7617,1578,406,178,,,
core_monitors,episode_vs_reference,estimable,3.348144142157932,2.179639122792886,4.516649161522978,approximate_cross_city_t_df_10,2.3764954460930414,4.4998769596420845,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.93006522044282,3.50501988497519,2019,2024,65141,14122,577,195,2.314337379159768,4.537310432373286,4999.0
core_monitors,heat_only_vs_reference,estimable,0.5260436630110146,-0.3215558970317186,1.3736432230537479,approximate_cross_city_t_df_10,-0.17572037134859567,1.3324705135523005,conditional_on_estimability,11,11,8,5000,5000,0.0,0.23253691091188902,0.7095742064865413,2019,2024,65141,14122,577,195,-0.29616797930256283,1.3341300413298913,5000.0
core_monitors,wind_only_vs_reference,estimable,2.8719936371064647,2.0709279958224998,3.6730592783904297,approximate_cross_city_t_df_10,2.2001530314346196,3.5501788972721706,conditional_on_estimability,11,11,11,5000,5000,0.0,2.6791480752754344,3.039820987472846,2019,2024,65141,14122,577,195,2.1826546061501357,3.5507187088929584,5000.0
core_monitors,other_compound_vs_reference,estimable,2.774195654105882,1.4082325484150395,4.140158759796725,approximate_cross_city_t_df_10,1.7143701313603854,4.086214632471263,conditional_on_estimability,11,11,11,5000,5000,0.0,2.279464294047214,2.949498934433665,2019,2024,65141,14122,577,195,1.6501321832759537,4.180325767147563,5000.0
core_monitors,episode_vs_heat_only,estimable,2.8221004791469175,2.0550656745631155,3.5891352837307196,approximate_cross_city_t_df_10,2.0722291373788093,3.6046431092016493,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.6506173247924165,2.9958447796372805,2019,2024,65141,14122,577,195,2.023271056100185,3.638712030646553,4999.0
core_monitors,episode_vs_wind_only,estimable,0.4761505050514675,-0.4668096080213179,1.419110618124253,approximate_cross_city_t_df_10,-0.3661067305340748,1.4568485988595854,conditional_on_estimability,11,11,9,4989,5000,0.0021999999999999797,0.1265121244687903,0.7222884686369443,2019,2024,65141,14122,577,195,-0.4748737863036651,1.429542794756937,4999.0
equal_station_weights,episode_vs_reference,estimable,3.3121166768662578,2.1562097050854936,4.468023648647022,approximate_cross_city_t_df_10,2.3476154060615353,4.453009269758764,conditional_on_estimability,11,11,11,4989,5000,0.0021999999999999797,2.895687353394141,3.468415786286188,2019,2024,69326,14122,577,195,2.305817190582553,4.484246164624013,4999.0
