city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
Houston,2019,houston_2019-07-06,2019-07-06,2019-07-07,2,2,18,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1,2
Houston,2019,houston_2019-08-02,2019-08-02,2019-08-03,2,2,18,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,0,2
Houston,2019,houston_2019-08-14,2019-08-14,2019-08-16,3,3,22,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1,3
Houston,2019,houston_2019-09-01,2019-09-01,2019-09-02,2,2,16,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052,2,2
Houston,2020,houston_2020-08-03,2020-08-03,2020-08-05,3,3,23,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1,3
Houston,2020,houston_2020-08-18,2020-08-18,2020-08-21,4,4,32,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1,4
Houston,2021,houston_2021-06-12,2021-06-12,2021-06-17,6,6,56,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,6,6
Houston,2021,houston_2021-07-25,2021-07-25,2021-07-26,2,2,17,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1066,1,2
Houston,2021,houston_2021-08-23,2021-08-23,2021-08-24,2,2,17,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1066,2,2
Houston,2022,houston_2022-06-18,2022-06-18,2022-06-20,3,3,30,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,2,3
Houston,2022,houston_2022-06-26,2022-06-26,2022-06-27,2,2,20,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,2,2
Houston,2022,houston_2022-08-10,2022-08-10,2022-08-11,2,2,18,48-201-0024;48-201-0026;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,0,2
Houston,2022,houston_2022-09-22,2022-09-22,2022-09-23,2,2,18,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,2,2
Houston,2023,houston_2023-07-02,2023-07-02,2023-07-03,2,2,14,48-201-0026;48-201-0047;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,0,2
Houston,2023,houston_2023-07-23,2023-07-23,2023-07-30,8,8,53,48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,2,8
Houston,2023,houston_2023-08-31,2023-08-31,2023-09-02,3,3,22,48-201-0024;48-201-0026;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,2,3
Houston,2023,houston_2023-09-11,2023-09-11,2023-09-13,3,3,23,48-201-0024;48-201-0026;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,2,3
Houston,2024,houston_2024-06-06,2024-06-06,2024-06-07,2,2,18,48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,2,2
Houston,2024,houston_2024-06-30,2024-06-30,2024-07-02,3,3,25,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,2,3
Houston,2024,houston_2024-07-09,2024-07-09,2024-07-10,2,2,3,48-201-0417;48-201-1052,0,2
Houston,2024,houston_2024-08-01,2024-08-01,2024-08-23,23,23,218,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,7,23
Houston,2024,houston_2024-09-18,2024-09-18,2024-09-20,3,3,29,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,3,3
Houston,2025,houston_2025-07-23,2025-07-23,2025-07-24,2,2,20,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1,2
Houston,2025,houston_2025-08-17,2025-08-17,2025-08-18,2,2,20,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,0,2
Los Angeles,2019,los_angeles_2019-06-09,2019-06-09,2019-06-10,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-5005,2,2
Los Angeles,2019,los_angeles_2019-08-25,2019-08-25,2019-08-26,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-5005,2,2
Los Angeles,2019,los_angeles_2019-09-12,2019-09-12,2019-09-14,3,3,21,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-5005,3,3
Los Angeles,2020,los_angeles_2020-07-30,2020-07-30,2020-08-01,3,3,24,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,2,3
Los Angeles,2020,los_angeles_2020-08-26,2020-08-26,2020-08-28,3,3,24,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,3,3
Los Angeles,2020,los_angeles_2020-09-04,2020-09-04,2020-09-05,2,2,16,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,0,2
Los Angeles,2020,los_angeles_2020-09-14,2020-09-14,2020-09-19,6,6,47,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,4,6
Los Angeles,2020,los_angeles_2020-09-28,2020-09-28,2020-09-29,2,2,16,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,2,2
Los Angeles,2020,los_angeles_2020-10-12,2020-10-12,2020-10-16,5,5,40,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,1,5
Los Angeles,2021,los_angeles_2021-06-14,2021-06-14,2021-06-15,2,2,16,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,2,2
Los Angeles,2021,los_angeles_2021-08-26,2021-08-26,2021-08-29,4,4,31,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010;06-037-5005,4,4
Los Angeles,2021,los_angeles_2021-09-04,2021-09-04,2021-09-05,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4010;06-037-5005,1,2
Los Angeles,2022,los_angeles_2022-05-13,2022-05-13,2022-05-14,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,2
Los Angeles,2022,los_angeles_2022-08-13,2022-08-13,2022-08-16,4,4,28,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,4,4
Los Angeles,2022,los_angeles_2022-09-05,2022-09-05,2022-09-07,3,3,21,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2022,los_angeles_2022-09-23,2022-09-23,2022-09-28,6,6,42,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,6,6
Los Angeles,2023,los_angeles_2023-07-24,2023-07-24,2023-07-26,3,3,21,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2023,los_angeles_2023-08-27,2023-08-27,2023-08-30,4,4,28,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,4,4
Los Angeles,2023,los_angeles_2023-09-08,2023-09-08,2023-09-09,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,2
Los Angeles,2023,los_angeles_2023-10-04,2023-10-04,2023-10-08,5,5,34,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,5
Los Angeles,2024,los_angeles_2024-06-22,2024-06-22,2024-06-23,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,2,2
Los Angeles,2024,los_angeles_2024-08-02,2024-08-02,2024-08-04,3,3,21,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,3,3
Los Angeles,2024,los_angeles_2024-08-19,2024-08-19,2024-08-20,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,1,2
Los Angeles,2024,los_angeles_2024-09-07,2024-09-07,2024-09-08,2,2,10,06-037-0113;06-037-1103;06-037-1602;06-037-2005;06-037-4008,1,2
Los Angeles,2024,los_angeles_2024-10-01,2024-10-01,2024-10-02,2,2,14,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-4010,0,2
