city,date,no2_ppb,n_available_sites,temperature_2m_max,wind_speed_10m_mean,relative_humidity_2m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,year,month,weekday,warm,hot,calm,episode_id,pure_wind_run_id,pure_wind_run_days,low_wind_run_days,phase,regime,regime_factorial,persistent_wind_only,wind_duration_class,met_relative_humidity_2m_mean_0,met_relative_humidity_2m_mean_1,met_relative_humidity_2m_mean_2,met_precipitation_sum_0,met_precipitation_sum_1,met_precipitation_sum_2,met_shortwave_radiation_sum_0,met_shortwave_radiation_sum_1,met_shortwave_radiation_sum_2,wind_adjust_0,wind_adjust_1,wind_adjust_2,met_wind_sin,met_wind_cos
Houston,2025-09-16,14.3075399,10,32.8,7.558333333333334,76.45833333333333,109.98688448987072,0.2,20.754,2025,9,1,True,False,True,,houston_2025-09-12,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.0669759079108186,0.20704406121024335,-0.07891268100158774,0.14484660801936827,-0.43140670495454375,-0.034369491734344004,-0.11615096994534627,0.3405937361152595,-0.12107646105737359,-0.39402278152412784,0.6786867902855853,0.13798018220849464,0.939770887598127,-0.3418050304238202
Houston,2025-09-17,13.4496014,10,32.2,6.170833333333333,78.625,202.37313376826248,1.2,21.384,2025,9,2,True,False,True,,houston_2025-09-12,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.284080099332166,0.5813416883555004,-0.06448836421551783,1.003930694114247,-0.007233057696437702,-0.006481277761402076,-0.23543822189392472,0.4939164315434718,-0.11214904833745812,0.43178980266207223,-0.3907732213696775,-0.16474293101005102,-0.3806368109534001,-0.9247246174657759
Houston,2025-09-18,13.530246299999998,10,31.3,6.495833333333334,81.79166666666667,145.83715908631515,2.8000000000000003,20.16,2025,9,3,True,False,True,,houston_2025-09-12,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.5050437874792729,0.9465352786794978,0.0028860854476474157,0.6565443404332931,0.4551781175372649,-0.017626348477445812,0.00397049456415469,0.18165644501871195,-0.12273020719295977,0.19778329108288342,0.03377716547510462,-0.21721255663608882,0.5615468578935888,-0.8274449385849415
Houston,2025-09-19,12.4187501,10,30.9,7.141666666666667,80.875,107.20989808831924,0.7,20.322,2025,9,4,True,False,True,,houston_2025-09-12,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.4562873368608669,0.8688069992685712,-0.023204654735742604,0.7900590110632982,-0.2017531304709463,-0.012474732033478033,-0.02922849696466545,0.22600710536138885,-0.12283339820273968,-0.30807323548203613,0.7380667939143342,-0.1671025775782663,0.9552272630511888,-0.29587307400933777
Houston,2025-09-20,8.687916699999999,10,30.3,6.283333333333334,86.04166666666667,131.75231809196998,2.2,16.6932,2025,9,5,True,False,True,,houston_2025-09-12,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.5871369056803537,1.0426209184745605,0.18557092113262447,0.8509697597482231,0.3091492267192079,-0.012963141673308105,0.5985623079076462,-0.699455284321232,-0.08446984642687458,0.3619985014087831,-0.2534971376777946,-0.1828271522347731,0.7460304339860996,-0.6659118496967237
Houston,2025-09-21,6.2372727,10,30.4,9.204166666666667,85.125,156.17336523932673,7.4,17.060399999999998,2025,9,6,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.587518719167451,1.0551040940387997,0.13841350395783256,-0.3975689779090993,0.9629147716143235,0.007898918599352914,0.5566201026607208,-0.6258617610446138,-0.08823415685897926,0.3089308933146222,-1.564916507947256,2.3320918206555796,0.4039705847916165,-0.9147719752064551
Houston,2025-09-22,7.6970832,10,30.4,10.425,85.75,156.2564014774373,11.0,17.172,2025,9,0,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.5882294896030531,1.0483756471179324,0.17014995696123605,-0.6843275966367205,1.0524579246719057,0.062264338925126596,0.5427368289737605,-0.6023647301732914,-0.08945355708685551,0.8918763125149797,-3.3476360567683328,4.01791838440611,0.40264442246932525,-0.9153564710288247
Houston,2025-09-23,5.709529,10,30.4,10.329166666666667,88.95833333333333,168.90936299940105,1.9,16.1856,2025,9,1,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.5317316026829895,0.9034151278937446,0.3588499075427139,0.9334052108366492,0.22448512512328744,-0.01032433041396267,0.6473087661059357,-0.7920018506061683,-0.07987851211627633,0.8461160918951565,-3.207695614369409,3.885583875988834,0.19236160585105286,-0.9813241118990219
Houston,2025-09-24,7.7891863,10,30.3,7.391666666666667,85.70833333333333,205.570185677807,8.799999999999999,14.8644,2025,9,2,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,-0.588312797540438,1.0490641449038451,0.16797816256177878,-0.5383044703290084,1.0120359776981336,0.028142554913289604,0.7264831763710425,-0.9854226957438145,-0.07109165561867951,-0.3914095047270035,0.7637498320984799,-0.014270890403825912,-0.4316164144768837,-0.9020572436126872
Houston,2025-09-25,11.2904168,10,30.9,7.125,75.25,336.3833659163952,2.9,16.794,2025,9,3,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.06269402792757715,-0.020777466320647024,-0.07996680956208592,0.6228664528214326,0.47679021644528913,-0.018244984828185824,0.5876148770689448,-0.6798163857478645,-0.08546564336464708,-0.2990451556048368,0.7295385265549831,-0.1738870841671407,-0.40061505367552985,0.9162464618041111
Houston,2025-09-26,15.68125,10,30.8,6.633333333333333,68.0,17.66458504046793,0.0,19.3176,2025,9,4,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.6755107528673159,-1.1745160151439864,-0.06694555900483241,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.17703761183072178,-0.05489876083132253,-0.11707644164311662,0.07942341050394867,0.22289526722806866,-0.23315321966826252,0.3034441555361992,0.9528492244163936
Houston,2025-09-27,15.6441667,10,30.0,5.1000000000000005,69.41666666666667,39.82383122205321,0.0,19.9548,2025,9,5,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.5873553112793966,-0.9939418453171031,-0.06908369590709659,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.04625345352829871,0.12470543854289588,-0.12208124518795758,0.3998516738435604,-0.9693286919780452,-0.10968563126479308,0.6404291987994085,0.7680172142114704
Houston,2025-09-28,11.7413636,10,30.5,7.445833333333333,65.875,55.19524952058188,0.0,22.2768,2025,9,6,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.7802406515238361,-1.4060877588309857,-0.06431778894836512,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,-0.3786465011125872,0.6696138034833637,-0.08310108033365031,-0.39641722492486936,0.7441135142695866,0.03126986372817826,0.821101887589436,0.5707816484410349
Houston,2025-09-29,17.8797754,10,31.6,6.595833333333334,65.54166666666667,33.72261163195844,0.0,20.6964,2025,9,0,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.7937733212367947,-1.4382763298248837,-0.06396659279995642,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,-0.10474281305860353,0.3256840273512761,-0.12149656844734126,0.11209485805373857,0.17192248126531037,-0.2296381424214649,0.5551727127855306,0.8317350894235224
Houston,2025-09-30,19.1435393,10,32.0,5.266666666666667,66.20833333333333,33.947188738794814,0.0,17.6256,2025,9,1,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.7659351661865124,-1.3727951898418356,-0.0646852666790343,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.4807428371097537,-0.5013236868944649,-0.09477889732978283,0.4750607417995277,-0.9528866121951096,-0.10630838232617804,0.5584285169122699,0.8295526454054394
Houston,2025-10-01,16.4683332,10,32.1,5.0125,69.625,110.00902361718548,0.0,17.7012,2025,10,2,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.5731145082067086,-0.9655629068945144,-0.0694250265823558,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.4695298153709056,-0.48360728900654176,-0.09572485887362296,0.3521842198405297,-0.9693858012383437,-0.11285044294101648,0.9396387437538344,-0.34216813299417
Houston,2025-10-02,16.1688768,10,32.3,5.9750000000000005,70.125,48.81202996269057,0.0,17.0352,2025,10,3,True,False,True,,houston_2025-09-24,9,9,background,wind_only,wind_only,True,persistent_wind_only,0.5375774119295549,-0.8955118276007177,-0.07027285500227216,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.559681173880355,-0.6310940551938096,-0.08796370670795019,0.5161025305555055,-0.5910547209737591,-0.13934029072083404,0.7525531923678925,0.6585314667173421
Houston,2025-10-03,12.840289799999999,10,30.4,8.854166666666666,76.29166666666667,87.64323896155562,0.2,17.7048,2025,10,4,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.04921897374641494,0.1760306069886393,-0.07928749875303455,0.14484660801936827,-0.43140670495454375,-0.034369491734344004,0.46898951308113346,-0.482757334331763,-0.09577032570064216,0.1418066093117886,-1.0538296748381397,1.8487831812185656,0.9991541475629259,0.041121641599078114
Houston,2025-10-04,10.1845833,10,30.7,9.554166666666667,70.375,73.31137176460214,0.0,18.738,2025,10,5,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.5190836993542145,-0.8594503615838365,-0.07071204688527068,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.2913033099594504,-0.2167662398711606,-0.10990255461710247,0.47605517731745495,-2.07600334105637,2.8154004600925915,0.9578795097823224,0.2871704106261258
Houston,2025-10-05,6.281363600000001,10,31.9,9.5125,72.54166666666667,75.88724219845595,0.0,19.7352,2025,10,6,True,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.33807763731032575,-0.5173079946257083,-0.07495505499308451,-0.2709236766045711,-0.5443395409342873,-0.04885941550751369,0.09157014758846838,0.06307985614967013,-0.12081643171891517,0.456159429221879,-2.0151596704481403,2.75786371730247,0.9698177465490101,0.24383096292021647
