date,temperature_2m_max,wind_speed_10m_mean,relative_humidity_2m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,city,year,month,weekday,warm,hot,calm,episode_id,pure_wind_run_id,pure_wind_run_days,low_wind_run_days,phase,regime,regime_factorial,persistent_wind_only,wind_duration_class,met_relative_humidity_2m_mean_0,met_relative_humidity_2m_mean_1,met_relative_humidity_2m_mean_2,met_precipitation_sum_0,met_precipitation_sum_1,met_precipitation_sum_2,met_shortwave_radiation_sum_0,met_shortwave_radiation_sum_1,met_shortwave_radiation_sum_2,wind_adjust_0,wind_adjust_1,wind_adjust_2,met_wind_sin,met_wind_cos
2024-11-25,11.4,8.558333333333334,63.04166666666666,266.27577900417526,0.0,9.756,New York,2024,11,0,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.545898591341253,-0.7046479361732828,-0.0968282307741743,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.5875647842733677,-0.842225316956024,-0.07772564399608836,-0.046475570868807874,-0.8469498107470724,1.6030629118316129,-0.9978882489683781,-0.0649541574560416
2024-11-26,13.6,9.5875,74.125,264.9792360126764,4.8,4.896,New York,2024,11,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.3100408174680289,0.5667942570923578,-0.09968166706021432,0.13903726878238354,0.819029074084474,-0.019073374334528652,-0.0005488743295723311,-0.8224438464876974,-0.11862691865324036,0.3399857398569261,-2.7535988774010893,3.2678259749661733,-0.9961630474391132,-0.08751675791995027
2024-11-27,10.4,8.816666666666666,65.95833333333333,247.3121128137196,0.0,9.5616,New York,2024,11,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.37300214680099913,-0.41163385112461565,-0.10677263961682702,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.5729448222586236,-0.8474901005501266,-0.07835029488244451,0.05053091198542468,-1.3255418841582012,2.020938660472676,-0.9226196526501399,-0.38571100132577907
2024-11-28,9.9,12.875,82.33333333333333,319.45824423227026,12.8,0.9216,New York,2024,11,3,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,-0.5823568731672277,0.8542297916805891,0.1562523829978044,-0.5991120264832005,1.069476862205221,0.1236212995336174,-0.689823602080247,-0.6645820130315482,-0.17573742451401045,1.5744714652115974,-8.844068972907237,8.585631872995194,-0.6500020411512465,0.7599324618011875
2024-11-29,7.2,14.045833333333334,67.5,260.38764233545345,0.0,7.7904,New York,2024,11,4,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.2540030773638327,-0.22820549636692283,-0.11298106863098706,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.4010303856351825,-0.8691310773369065,-0.08843835442726149,2.0141298794380402,-11.013171757238327,10.479552604739371,-0.9859600451313036,-0.16698140436790482
2024-11-30,3.9,15.0875,61.41666666666666,266.5324425408454,0.0,8.6796,New York,2024,11,5,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6125985435088603,-0.8368405937235796,-0.09267991304325573,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.49567780972639625,-0.8639392043271567,-0.08242645766363822,2.405285052237366,-12.94297850486385,12.164535462163013,-0.9981692058742853,-0.06048335675455394
2024-12-01,3.6,14.4125,59.125,257.3892618898992,0.0,8.8128,New York,2024,12,6,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.6730570422985157,-0.9880385979865359,-0.08840879554063102,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.5084532910648801,-0.8622076471069258,-0.08168518574404415,2.1518165002634024,-11.69246373240251,11.072666570552492,-0.9758758614019203,-0.21832613937195008
2024-12-02,4.2,9.645833333333334,65.41666666666667,287.2907410042875,0.0,8.6976,New York,2024,12,0,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.4104794633662507,-0.4716777528182319,-0.10467364629910365,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.49742642660095954,-0.8637203087392237,-0.08232376420897058,0.3618904295336883,-2.861668055268119,3.362185014981898,-0.9548088428039532,0.2972205808879593
2024-12-03,5.0,10.016666666666667,67.70833333333333,282.79978808779424,0.0,8.395199999999999,New York,2024,12,1,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.23678940786562966,-0.20234750425905096,-0.11377075939006227,-0.20814742019684887,-0.4194682436788727,-0.046284746350663916,0.467145044747686,-0.8667825201533693,-0.08415176256965261,0.5011416710502486,-3.548679257422806,3.9620389122247155,-0.9751501737105712,0.22154489096398236
2024-12-04,4.8,11.583333333333334,66.125,208.94137386249545,2.0,6.7932,New York,2024,12,2,False,False,False,,,0,0,background,neither,neither,False,not_wind_only,0.36097001240403687,-0.39263552587660516,-0.10744066097568776,0.9396237502838446,0.2796328613377235,-0.011530167989293008,0.27722282643632773,-0.8629398494452335,-0.09718680914052386,1.0894390509404341,-6.451108605851592,6.496253129789874,-0.4839144389968123,-0.8751153156758259
