period,classification,city,regime,city_days,station_days,sites,events
2025,regime_factorial,Dallas,wind_only,65,192,3,0
2025,regime_factorial,Denver,compound,2,8,4,0
2025,regime_factorial,Denver,heat_only,39,181,5,0
2025,regime_factorial,Denver,neither,115,545,5,0
2025,regime_factorial,Denver,wind_only,58,277,5,0
2025,regime_factorial,Houston,compound,13,129,10,2
2025,regime_factorial,Houston,heat_only,5,49,10,0
2025,regime_factorial,Houston,neither,119,1125,10,0
2025,regime_factorial,Houston,wind_only,77,743,10,0
2025,regime_factorial,Los Angeles,compound,14,96,7,4
2025,regime_factorial,Los Angeles,heat_only,10,69,7,0
2025,regime_factorial,Los Angeles,neither,131,916,7,0
2025,regime_factorial,Los Angeles,wind_only,59,407,7,0
2025,regime_factorial,New York,compound,18,136,8,3
2025,regime_factorial,New York,heat_only,20,149,8,0
2025,regime_factorial,New York,neither,133,979,8,0
2025,regime_factorial,New York,wind_only,43,320,8,0
2025,regime_factorial,Philadelphia,compound,15,70,5,4
2025,regime_factorial,Philadelphia,heat_only,23,109,5,0
2025,regime_factorial,Philadelphia,neither,129,610,5,0
2025,regime_factorial,Philadelphia,wind_only,47,222,5,0
2025,regime_factorial,Phoenix,compound,5,23,5,1
2025,regime_factorial,Phoenix,heat_only,42,176,5,0
2025,regime_factorial,Phoenix,neither,95,442,5,0
2025,regime_factorial,Phoenix,wind_only,72,338,5,0
2025,regime_factorial,San Diego,compound,13,54,5,2
2025,regime_factorial,San Diego,heat_only,8,30,5,0
2025,regime_factorial,San Diego,neither,137,549,5,0
2025,regime_factorial,San Diego,wind_only,56,235,5,0
2025,regime_factorial,Seattle,compound,18,43,3,3
2025,regime_factorial,Seattle,heat_only,24,59,3,0
2025,regime_factorial,Seattle,neither,126,342,3,0
2025,regime_factorial,Seattle,wind_only,43,113,3,0
2025,wind_duration_class,Atlanta,isolated_wind_only,17,46,3,0
2025,wind_duration_class,Atlanta,not_wind_only,171,457,3,4
2025,wind_duration_class,Atlanta,persistent_wind_only,22,56,3,0
2025,wind_duration_class,Chicago,isolated_wind_only,20,68,4,0
2025,wind_duration_class,Chicago,not_wind_only,154,550,4,4
2025,wind_duration_class,Chicago,persistent_wind_only,40,147,4,0
2025,wind_duration_class,Dallas,isolated_wind_only,16,45,3,0
2025,wind_duration_class,Dallas,not_wind_only,149,434,3,2
2025,wind_duration_class,Dallas,persistent_wind_only,49,147,3,0
2025,wind_duration_class,Denver,isolated_wind_only,29,139,5,0
2025,wind_duration_class,Denver,not_wind_only,156,734,5,0
2025,wind_duration_class,Denver,persistent_wind_only,29,138,5,0
2025,wind_duration_class,Houston,isolated_wind_only,11,107,10,0
2025,wind_duration_class,Houston,not_wind_only,137,1303,10,2
2025,wind_duration_class,Houston,persistent_wind_only,66,636,10,0
2025,wind_duration_class,Los Angeles,isolated_wind_only,12,83,7,0
2025,wind_duration_class,Los Angeles,not_wind_only,155,1081,7,4
2025,wind_duration_class,Los Angeles,persistent_wind_only,47,324,7,0
2025,wind_duration_class,New York,isolated_wind_only,13,94,8,0
2025,wind_duration_class,New York,not_wind_only,171,1264,8,3
2025,wind_duration_class,New York,persistent_wind_only,30,226,8,0
2025,wind_duration_class,Philadelphia,isolated_wind_only,17,83,5,0
2025,wind_duration_class,Philadelphia,not_wind_only,167,789,5,4
2025,wind_duration_class,Philadelphia,persistent_wind_only,30,139,5,0
2025,wind_duration_class,Phoenix,isolated_wind_only,14,64,5,0
2025,wind_duration_class,Phoenix,not_wind_only,142,641,5,1
2025,wind_duration_class,Phoenix,persistent_wind_only,58,274,5,0
2025,wind_duration_class,San Diego,isolated_wind_only,11,42,5,0
2025,wind_duration_class,San Diego,not_wind_only,158,633,5,2
2025,wind_duration_class,San Diego,persistent_wind_only,45,193,5,0
2025,wind_duration_class,Seattle,isolated_wind_only,18,50,3,0
2025,wind_duration_class,Seattle,not_wind_only,168,444,3,3
2025,wind_duration_class,Seattle,persistent_wind_only,25,63,3,0
