definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min3_sep7,neither,Phoenix,2023,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Phoenix,2024,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Phoenix,2025,0,0,0,0,0,0
p80_p30_min3_sep7,neither,San Diego,2019,74,28,19,28,7,2
p80_p30_min3_sep7,neither,San Diego,2020,110,45,30,48,13,4
p80_p30_min3_sep7,neither,San Diego,2021,0,0,0,0,0,0
p80_p30_min3_sep7,neither,San Diego,2022,30,10,9,10,3,1
p80_p30_min3_sep7,neither,San Diego,2023,88,36,22,36,9,3
p80_p30_min3_sep7,neither,San Diego,2024,72,20,15,20,4,2
p80_p30_min3_sep7,neither,San Diego,2025,32,12,8,12,3,1
p80_p30_min3_sep7,neither,Seattle,2019,16,6,8,6,3,1
p80_p30_min3_sep7,neither,Seattle,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Seattle,2021,8,4,4,4,2,1
p80_p30_min3_sep7,neither,Seattle,2022,16,6,8,6,3,1
p80_p30_min3_sep7,neither,Seattle,2023,54,19,31,19,11,3
p80_p30_min3_sep7,neither,Seattle,2024,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Seattle,2025,36,14,16,14,6,2
p80_p30_min3_sep7,wind_only,Atlanta,2019,36,12,12,21,7,2
p80_p30_min3_sep7,wind_only,Atlanta,2020,63,21,21,30,10,2
p80_p30_min3_sep7,wind_only,Atlanta,2021,60,24,20,24,8,3
p80_p30_min3_sep7,wind_only,Atlanta,2022,32,13,12,13,5,1
p80_p30_min3_sep7,wind_only,Atlanta,2023,21,9,7,9,3,1
p80_p30_min3_sep7,wind_only,Atlanta,2024,47,18,16,24,8,3
p80_p30_min3_sep7,wind_only,Atlanta,2025,37,17,13,17,6,2
p80_p30_min3_sep7,wind_only,Chicago,2019,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Chicago,2020,27,12,9,12,4,2
p80_p30_min3_sep7,wind_only,Chicago,2021,32,16,10,16,5,2
p80_p30_min3_sep7,wind_only,Chicago,2022,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Chicago,2023,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Chicago,2024,32,16,8,16,4,2
p80_p30_min3_sep7,wind_only,Chicago,2025,44,18,15,18,6,2
p80_p30_min3_sep7,wind_only,Dallas,2019,6,3,2,3,1,1
p80_p30_min3_sep7,wind_only,Dallas,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Dallas,2021,69,25,22,25,8,2
p80_p30_min3_sep7,wind_only,Dallas,2022,22,8,9,8,3,1
p80_p30_min3_sep7,wind_only,Dallas,2023,6,3,2,3,1,1
p80_p30_min3_sep7,wind_only,Dallas,2024,24,9,8,9,3,1
p80_p30_min3_sep7,wind_only,Dallas,2025,42,19,16,19,7,2
p80_p30_min3_sep7,wind_only,Denver,2019,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2021,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2022,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2023,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2024,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Denver,2025,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Houston,2019,59,22,8,22,3,1
p80_p30_min3_sep7,wind_only,Houston,2020,10,5,2,5,1,1
p80_p30_min3_sep7,wind_only,Houston,2021,124,49,16,49,6,2
p80_p30_min3_sep7,wind_only,Houston,2022,20,10,2,10,1,1
p80_p30_min3_sep7,wind_only,Houston,2023,60,30,8,30,4,2
p80_p30_min3_sep7,wind_only,Houston,2024,254,79,29,158,18,3
p80_p30_min3_sep7,wind_only,Houston,2025,79,30,8,30,3,1
p80_p30_min3_sep7,wind_only,Los Angeles,2019,110,48,16,48,7,2
p80_p30_min3_sep7,wind_only,Los Angeles,2020,373,119,47,143,18,4
p80_p30_min3_sep7,wind_only,Los Angeles,2021,84,35,12,35,5,1
p80_p30_min3_sep7,wind_only,Los Angeles,2022,70,28,10,42,6,2
p80_p30_min3_sep7,wind_only,Los Angeles,2023,164,55,24,55,8,2
p80_p30_min3_sep7,wind_only,Los Angeles,2024,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Los Angeles,2025,14,7,2,7,1,1
p80_p30_min3_sep7,wind_only,New York,2019,62,23,8,23,3,2
p80_p30_min3_sep7,wind_only,New York,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,New York,2021,113,49,14,49,6,2
p80_p30_min3_sep7,wind_only,New York,2022,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,New York,2023,82,38,11,38,5,2
p80_p30_min3_sep7,wind_only,New York,2024,112,48,14,48,6,2
p80_p30_min3_sep7,wind_only,New York,2025,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Philadelphia,2019,65,25,16,25,6,2
p80_p30_min3_sep7,wind_only,Philadelphia,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Philadelphia,2021,101,39,21,39,8,2
p80_p30_min3_sep7,wind_only,Philadelphia,2022,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Philadelphia,2023,28,14,6,14,3,1
p80_p30_min3_sep7,wind_only,Philadelphia,2024,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Philadelphia,2025,23,9,5,9,2,2
p80_p30_min3_sep7,wind_only,Phoenix,2019,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2021,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2022,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2023,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2024,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Phoenix,2025,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,San Diego,2019,45,21,13,21,6,2
p80_p30_min3_sep7,wind_only,San Diego,2020,105,35,27,43,11,3
p80_p30_min3_sep7,wind_only,San Diego,2021,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,San Diego,2022,14,7,4,7,2,1
p80_p30_min3_sep7,wind_only,San Diego,2023,59,24,15,24,6,2
p80_p30_min3_sep7,wind_only,San Diego,2024,40,15,8,15,3,2
p80_p30_min3_sep7,wind_only,San Diego,2025,30,15,8,15,4,1
p80_p30_min3_sep7,wind_only,Seattle,2019,4,2,2,2,1,1
p80_p30_min3_sep7,wind_only,Seattle,2020,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Seattle,2021,4,2,2,2,1,1
p80_p30_min3_sep7,wind_only,Seattle,2022,18,6,9,6,3,1
p80_p30_min3_sep7,wind_only,Seattle,2023,12,6,6,6,3,2
p80_p30_min3_sep7,wind_only,Seattle,2024,0,0,0,0,0,0
p80_p30_min3_sep7,wind_only,Seattle,2025,15,6,5,6,2,2
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2019,33,12,11,21,7,2
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2020,42,15,14,21,7,2
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2021,48,21,16,21,7,3
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2022,20,10,8,10,4,1
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2023,21,9,7,9,3,1
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2024,32,12,11,18,6,2
p80_p30_min3_sep7,persistent_wind_only,Atlanta,2025,27,12,9,12,4,2
p80_p30_min3_sep7,persistent_wind_only,Chicago,2019,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Chicago,2020,19,8,7,8,3,1
p80_p30_min3_sep7,persistent_wind_only,Chicago,2021,20,10,6,10,3,2
p80_p30_min3_sep7,persistent_wind_only,Chicago,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Chicago,2023,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Chicago,2024,24,12,6,12,3,2
p80_p30_min3_sep7,persistent_wind_only,Chicago,2025,27,12,9,12,4,1
p80_p30_min3_sep7,persistent_wind_only,Dallas,2019,6,3,2,3,1,1
p80_p30_min3_sep7,persistent_wind_only,Dallas,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Dallas,2021,66,25,21,25,8,2
p80_p30_min3_sep7,persistent_wind_only,Dallas,2022,14,6,7,6,3,1
p80_p30_min3_sep7,persistent_wind_only,Dallas,2023,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Dallas,2024,18,6,6,6,2,1
p80_p30_min3_sep7,persistent_wind_only,Dallas,2025,36,16,14,16,6,2
p80_p30_min3_sep7,persistent_wind_only,Denver,2019,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2020,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2021,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2022,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2023,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2024,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Denver,2025,0,0,0,0,0,0
p80_p30_min3_sep7,persistent_wind_only,Houston,2019,59,22,8,22,3,1
