model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_pre1_6,days_post1_2,days_post3_6,days_other_compound
phase_adjusted,Los Angeles,post1_2_vs_reference,-0.8664889503832509,-1.9437288452037906,0.2107509444372888,approximate_delete_one_year_jackknife_t,-1.688897590148268,-0.24885400435169924,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,16,16,835.461535260789,3.3012410766181253,76,114,49,89,58
phase_adjusted,Los Angeles,post3_6_vs_reference,-0.8834424441647255,-2.071463398675758,0.3045785103463068,approximate_delete_one_year_jackknife_t,-1.5353328007537375,0.2276598508357256,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,16,16,835.461535260789,3.3012410766181253,76,114,49,89,58
phase_adjusted,Los Angeles,other_compound_vs_reference,1.5203918308380127,-0.03153322048746854,3.072316882163494,approximate_delete_one_year_jackknife_t,0.2740207576282092,2.4438203615337137,conditional_on_estimability,5000,9253,1284,8,2148,76,25,6,16,16,835.461535260789,3.3012410766181253,76,114,49,89,58
phase_adjusted,New York,episode_vs_reference,2.8914056328693256,0.729946240715055,5.052865025023596,approximate_delete_one_year_jackknife_t,1.3870384475172177,4.237230142779419,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,16,16,219.52194466101514,4.030719181859383,58,85,42,67,44
phase_adjusted,New York,pre1_6_vs_reference,-0.02970153984773205,-1.6711869667056314,1.6117838870101673,approximate_delete_one_year_jackknife_t,-1.0938119985248225,0.976833771351922,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,16,16,219.52194466101514,4.030719181859383,58,85,42,67,44
phase_adjusted,New York,post1_2_vs_reference,0.19704779949773477,-1.5126524883396981,1.9067480873351679,approximate_delete_one_year_jackknife_t,-0.8638078251172512,1.6002505844241424,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,16,16,219.52194466101514,4.030719181859383,58,85,42,67,44
phase_adjusted,New York,post3_6_vs_reference,0.2235512011994245,-1.4965257016859121,1.9436281040847612,approximate_delete_one_year_jackknife_t,-1.0775447213863805,1.1208018456148998,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,16,16,219.52194466101514,4.030719181859383,58,85,42,67,44
phase_adjusted,New York,other_compound_vs_reference,2.4619191824663185,1.791036745940843,3.132801618991794,approximate_delete_one_year_jackknife_t,1.9674125879242323,2.849456774268778,conditional_on_estimability,5000,10742,1284,9,2527,58,22,6,16,16,219.52194466101514,4.030719181859383,58,85,42,67,44
phase_adjusted,Philadelphia,episode_vs_reference,0.8579656801651891,-0.5033820614895288,2.219313421819907,approximate_delete_one_year_jackknife_t,-0.1227743565001504,1.5441971384340447,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,16,16,163.1346131034335,3.462394490623639,35,73,28,47,44
phase_adjusted,Philadelphia,pre1_6_vs_reference,-0.7240128146204117,-1.5886845366338966,0.1406589073930734,approximate_delete_one_year_jackknife_t,-1.2532139485282168,-0.025524002549131286,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,16,16,163.1346131034335,3.462394490623639,35,73,28,47,44
phase_adjusted,Philadelphia,post1_2_vs_reference,-0.8062468961238239,-1.7057783047222383,0.09328451247459046,approximate_delete_one_year_jackknife_t,-1.4974861481008799,0.026814756914530787,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,16,16,163.1346131034335,3.462394490623639,35,73,28,47,44
phase_adjusted,Philadelphia,post3_6_vs_reference,-0.1702630731262751,-0.7138462921637184,0.37332014591116824,approximate_delete_one_year_jackknife_t,-0.3788945330450084,0.4304345593215664,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,16,16,163.1346131034335,3.462394490623639,35,73,28,47,44
phase_adjusted,Philadelphia,other_compound_vs_reference,0.7254850881092365,0.11218981103726422,1.3387803651812087,approximate_delete_one_year_jackknife_t,0.3379937780479544,1.2124167442153868,conditional_on_estimability,5000,5975,1284,6,1435,35,14,6,16,16,163.1346131034335,3.462394490623639,35,73,28,47,44
phase_adjusted,Phoenix,episode_vs_reference,2.6637596974206232,-0.20066575731478853,5.528185152156035,approximate_delete_one_year_jackknife_t,1.1142494510325989,6.063698432955971,conditional_on_estimability,4993,5991,1284,6,1414,16,8,6,16,16,383.04778726005156,3.052939374327255,16,46,16,32,34
