model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_pre1_6,days_post1_2,days_post3_6,days_other_compound
phase_calendar,Dallas,episode_vs_reference,3.004680172512058,1.0479654123306168,4.9613949326935,approximate_delete_one_year_jackknife_t,1.9965731282933152,4.339779646229874,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,5,5,3.3340068737734403,3.0538682385148217,44,70,25,41,42
phase_calendar,Dallas,pre1_6_vs_reference,0.24195516486692137,-2.1203798304499384,2.604290160183781,approximate_delete_one_year_jackknife_t,-1.2462107624333312,1.9986115877051829,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,5,5,3.3340068737734403,3.0538682385148217,44,70,25,41,42
phase_calendar,Dallas,post1_2_vs_reference,1.3724317939851083,0.15447334084945208,2.5903902471207645,approximate_delete_one_year_jackknife_t,0.49694407209733304,2.173021847053518,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,5,5,3.3340068737734403,3.0538682385148217,44,70,25,41,42
phase_calendar,Dallas,post3_6_vs_reference,0.4090992170848463,-0.9839451954447739,1.8021436296144664,approximate_delete_one_year_jackknife_t,-0.5923283324681617,1.3618831823908129,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,5,5,3.3340068737734403,3.0538682385148217,44,70,25,41,42
phase_calendar,Dallas,other_compound_vs_reference,1.9558130381699097,1.3299824158215943,2.581643660518225,approximate_delete_one_year_jackknife_t,1.3982845453393886,2.3265593290747044,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,5,5,3.3340068737734403,3.0538682385148217,44,70,25,41,42
phase_calendar,Denver,episode_vs_reference,1.9523418577087206,-1.6359869356101449,5.540670651027586,approximate_delete_one_year_jackknife_t,-0.6156576951339884,4.87224273471173,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,5,5,4.152024355881482,3.833064642547195,12,32,12,22,37
phase_calendar,Denver,pre1_6_vs_reference,0.09345231567691993,-2.1416863014609424,2.328590932814782,approximate_delete_one_year_jackknife_t,-1.2808424319188962,1.7777463594115939,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,5,5,4.152024355881482,3.833064642547195,12,32,12,22,37
phase_calendar,Denver,post1_2_vs_reference,-0.15618435319412577,-2.8929098979219234,2.5805411915336722,approximate_delete_one_year_jackknife_t,-1.4097676371201329,1.9132606057785218,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,5,5,4.152024355881482,3.833064642547195,12,32,12,22,37
phase_calendar,Denver,post3_6_vs_reference,0.04659151839042612,-2.3302267829761716,2.4234098197570235,approximate_delete_one_year_jackknife_t,-0.971015075621035,2.2019283709594437,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,5,5,4.152024355881482,3.833064642547195,12,32,12,22,37
phase_calendar,Denver,other_compound_vs_reference,1.5886035594358232,0.17272801376683455,3.004479105104812,approximate_delete_one_year_jackknife_t,0.491376003031364,2.62155331393978,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,5,5,4.152024355881482,3.833064642547195,12,32,12,22,37
phase_calendar,Houston,episode_vs_reference,1.5598917008556654,-0.5733033695134191,3.69308677122475,approximate_delete_one_year_jackknife_t,0.35625485964625603,3.167272024021326,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,5,5,4.007969097046604,3.704800439961274,84,107,38,75,40
phase_calendar,Houston,pre1_6_vs_reference,-0.6643935389472649,-2.076905786497548,0.748118708603018,approximate_delete_one_year_jackknife_t,-1.531803028621635,0.381064599272333,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,5,5,4.007969097046604,3.704800439961274,84,107,38,75,40
