model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
period_2019_2022,Phoenix,2021,phoenix_2021-07-07,10,10,2,2,True,True,True
period_2019_2022,Phoenix,2021,phoenix_2021-08-04,10,10,2,2,True,True,True
period_2019_2022,Phoenix,2021,phoenix_2021-08-25,10,10,2,2,True,True,True
period_2019_2022,Phoenix,2021,phoenix_2021-09-12,10,10,2,2,True,True,True
period_2019_2022,San Diego,2019,san_diego_2019-08-14,8,8,2,2,True,True,True
period_2019_2022,San Diego,2019,san_diego_2019-08-25,8,8,2,2,True,True,True
period_2019_2022,San Diego,2019,san_diego_2019-09-02,16,16,4,4,True,True,True
period_2019_2022,San Diego,2019,san_diego_2019-09-13,12,12,3,3,True,True,True
period_2019_2022,San Diego,2019,san_diego_2019-10-06,8,8,2,2,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-05-06,8,8,2,2,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-07-05,8,8,2,2,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-08-17,20,20,5,5,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-09-04,8,8,2,2,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-09-22,10,10,3,3,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-10-01,23,23,6,6,True,True,True
period_2019_2022,San Diego,2020,san_diego_2020-10-14,12,12,3,3,True,True,True
period_2019_2022,San Diego,2021,san_diego_2021-08-27,8,8,2,2,True,True,True
period_2019_2022,San Diego,2021,san_diego_2021-10-01,8,8,2,2,True,True,True
period_2019_2022,San Diego,2022,san_diego_2022-06-26,10,10,3,3,True,True,True
period_2019_2022,San Diego,2022,san_diego_2022-08-09,7,7,2,2,True,True,True
period_2019_2022,San Diego,2022,san_diego_2022-09-02,8,8,2,2,True,True,True
period_2019_2022,San Diego,2022,san_diego_2022-09-27,8,8,2,2,True,True,True
period_2019_2022,Seattle,2019,seattle_2019-08-05,4,4,2,2,True,True,True
period_2019_2022,Seattle,2019,seattle_2019-08-12,8,8,4,4,True,True,True
period_2019_2022,Seattle,2019,seattle_2019-09-02,4,4,2,2,True,True,True
period_2019_2022,Seattle,2020,seattle_2020-08-27,4,4,2,2,True,True,True
period_2019_2022,Seattle,2021,seattle_2021-07-10,8,7,4,4,True,False,True
period_2019_2022,Seattle,2021,seattle_2021-07-18,3,3,2,2,True,True,True
period_2019_2022,Seattle,2021,seattle_2021-07-27,4,4,2,2,True,True,True
period_2019_2022,Seattle,2022,seattle_2022-07-29,6,6,3,3,True,True,True
period_2019_2022,Seattle,2022,seattle_2022-08-14,4,4,2,2,True,True,True
