period,classification,city,regime,variable,n,mean,median,q25,q75,minimum,maximum,sd
2019_2024,regime,Dallas,episode,n_available_sites,46,3.4130434782608696,3.5,3.0,4.0,2.0,4.0,0.652383219231074
2019_2024,regime,Dallas,episode,temperature_2m_max,46,36.91304347826087,36.4,35.6,37.075,35.1,42.6,1.8847468083010426
2019_2024,regime,Dallas,episode,wind_speed_10m_mean,46,7.3151268115942,7.339583333333334,6.628125000000001,8.270833333333332,5.0,9.133333333333333,1.1307044533042017
2019_2024,regime,Dallas,episode,relative_humidity_2m_mean,46,55.10416666666665,56.85416666666667,52.05208333333333,60.520833333333336,35.625,68.29166666666667,7.70037752601844
2019_2024,regime,Dallas,episode,precipitation_sum,46,0.4130434782608695,0.0,0.0,0.0,0.0,12.8,1.9377660328501052
2019_2024,regime,Dallas,episode,shortwave_radiation_sum,46,24.283565217391306,24.228,22.437,25.9245,19.3752,28.026,2.232562722893172
2019_2024,regime,Dallas,episode,wind_direction_10m_dominant,46,132.4231875207145,139.94495511655722,96.86280477510302,165.85520638981194,38.36777894740407,204.290487651471,43.054966375914915
2019_2024,regime,Dallas,episode,pure_wind_run_days,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Dallas,episode,low_wind_run_days,46,5.760869565217392,4.0,3.0,9.0,2.0,11.0,3.10687254402734
2019_2024,regime,Dallas,heat_only,no2_ppb,218,3.8596088883792055,3.492708125,2.4592018749999998,4.840081625,0.60664775,12.29895825,1.9832413078909095
2019_2024,regime,Dallas,heat_only,n_available_sites,218,3.256880733944954,4.0,3.0,4.0,1.0,4.0,0.9248606294284236
2019_2024,regime,Dallas,heat_only,temperature_2m_max,218,37.60871559633027,37.3,36.2,38.675000000000004,35.1,42.9,1.8109414517822722
2019_2024,regime,Dallas,heat_only,wind_speed_10m_mean,218,14.200688073394495,13.752083333333335,11.614583333333332,16.257291666666667,9.245833333333334,27.1125,3.333490708351088
2019_2024,regime,Dallas,heat_only,relative_humidity_2m_mean,218,53.48470948012231,54.85416666666666,45.583333333333336,60.04166666666666,34.0,72.83333333333333,8.563549412354734
2019_2024,regime,Dallas,heat_only,precipitation_sum,218,0.28394495412844034,0.0,0.0,0.0,0.0,18.4,1.5005280289350087
2019_2024,regime,Dallas,heat_only,shortwave_radiation_sum,218,25.382559633027526,25.7364,23.8149,27.3528,15.6456,29.3364,2.579109661583547
2019_2024,regime,Dallas,heat_only,wind_direction_10m_dominant,218,166.71512657772575,175.56419838190652,163.78507807205074,182.71292785301767,9.021469577603652,349.7774043039244,38.64028291216854
2019_2024,regime,Dallas,heat_only,pure_wind_run_days,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
