definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min2_allruns,persistent_wind_only,New York,2020,27,9,3,18,2,2
p80_p30_min2_allruns,persistent_wind_only,New York,2021,98,49,12,49,6,2
p80_p30_min2_allruns,persistent_wind_only,New York,2022,32,16,4,16,2,1
p80_p30_min2_allruns,persistent_wind_only,New York,2023,68,31,9,31,4,1
p80_p30_min2_allruns,persistent_wind_only,New York,2024,32,16,4,16,2,1
p80_p30_min2_allruns,persistent_wind_only,New York,2025,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2019,50,22,12,22,5,2
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2020,20,8,5,8,2,1
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2021,81,34,17,34,7,2
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2022,20,10,4,10,2,1
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2023,42,19,9,23,5,3
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2024,28,12,7,16,4,2
p80_p30_min2_allruns,persistent_wind_only,Philadelphia,2025,8,4,2,4,1,1
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2019,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2020,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2021,89,30,18,40,8,4
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2022,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2023,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2024,8,4,2,4,1,1
p80_p30_min2_allruns,persistent_wind_only,Phoenix,2025,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,San Diego,2019,90,39,25,39,11,5
p80_p30_min2_allruns,persistent_wind_only,San Diego,2020,121,43,31,51,13,4
p80_p30_min2_allruns,persistent_wind_only,San Diego,2021,24,8,6,8,2,1
p80_p30_min2_allruns,persistent_wind_only,San Diego,2022,30,15,8,15,4,2
p80_p30_min2_allruns,persistent_wind_only,San Diego,2023,62,27,16,27,7,3
p80_p30_min2_allruns,persistent_wind_only,San Diego,2024,75,24,16,24,5,3
p80_p30_min2_allruns,persistent_wind_only,San Diego,2025,36,12,9,16,4,2
p80_p30_min2_allruns,persistent_wind_only,Seattle,2019,4,2,2,2,1,1
p80_p30_min2_allruns,persistent_wind_only,Seattle,2020,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Seattle,2021,4,2,2,2,1,1
p80_p30_min2_allruns,persistent_wind_only,Seattle,2022,12,4,6,4,2,1
p80_p30_min2_allruns,persistent_wind_only,Seattle,2023,12,6,6,6,3,2
p80_p30_min2_allruns,persistent_wind_only,Seattle,2024,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Seattle,2025,25,10,10,10,4,3
