model,city,contrast,estimate_ppb,estimable,diagnostic_reason,support_station_days,strata,unique_weather_days,episode_station_days,episode_city_days,observed_episodes,within_rank,parameters,condition_number,contrast_projection_max_error,jackknife_status,jackknife_se,jackknife_lower,jackknife_upper,delete_year_attempted,delete_year_unavailable,unavailable_when_omitting_years,city_year_bootstrap_attempted,city_year_bootstrap_valid,city_year_bootstrap_failed,note
extension_2025,Denver,episode_vs_wind_only,,False,no_retained_episode_station_days_in_this_city_and_specification,1010,243,214,0,0,0,14,15,inf,1.0,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Denver,episode_vs_heat_only,,False,no_retained_episode_station_days_in_this_city_and_specification,1010,243,214,0,0,0,14,15,inf,1.0,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,0,5000,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,episode_vs_reference,1.237818588551316,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,9.56179579958416e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,heat_only_vs_reference,0.521661292553388,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,7.466249840604178e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,wind_only_vs_reference,3.542454981325914,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,2.220446049250313e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,other_compound_vs_reference,3.187652427846932,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,4.829470157119431e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,episode_vs_wind_only,-2.304636392774598,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,7.327471962526033e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Houston,episode_vs_heat_only,0.716157295997928,True,estimable,2037,476,214,40,4,2,15,15,767.466264538291,5.2024357044544445e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Los Angeles,episode_vs_reference,1.806742903683083,True,estimable,1488,343,214,61,9,4,15,15,900.1438245945639,4.992534163861251e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
extension_2025,Los Angeles,heat_only_vs_reference,0.7210709122748451,True,estimable,1488,343,214,61,9,4,15,15,900.1438245945639,4.4825254619240695e-15,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,,,,0,0,,5000,5000,0,Weather is common to sites within a city-date; additional stations are not independent weather replicates.
