city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
Houston,2020,houston_2020-08-03,7.666666666666667,8.666666666666666,-0.9999999999999991,1.0,7,48-201-0024;48-201-0026;48-201-0047;48-201-0416;48-201-1034;48-201-1052;48-201-1066,1.3779477619047618,1.453182142857142
Houston,2020,houston_2020-08-18,8.0,8.75,-0.75,1.0,6,48-201-0024;48-201-0026;48-201-0047;48-201-1035;48-201-1052;48-201-1066,7.739050678571427,7.94207164285714
Houston,2021,houston_2021-06-12,9.333333333333334,9.666666666666666,-0.33333333333333215,1.0,7,48-201-0024;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1066,9.061831083333336,9.614841119047618
Houston,2021,houston_2021-08-23,8.5,7.0,1.5,0.7777777777777778,5,48-201-0026;48-201-0055;48-201-0416;48-201-0417;48-201-1034,-11.112788999999998,-12.132485714285718
Houston,2022,houston_2022-06-18,10.0,10.0,0.0,1.0,9,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,5.591174047619046,5.524178809523809
Houston,2022,houston_2022-06-26,10.0,10.0,0.0,1.0,10,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,0.3117004285714273,0.3117004285714291
Houston,2022,houston_2022-09-22,9.0,8.5,0.5,0.9,5,48-201-0024;48-201-0026;48-201-1034;48-201-1052;48-201-1066,-2.8488923571428586,-0.2679767142857159
Houston,2023,houston_2023-07-02,7.0,10.0,-3.0,1.0,7,48-201-0026;48-201-0047;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,8.286284071428572,9.160110999999997
Houston,2023,houston_2023-08-31,7.333333333333333,7.666666666666667,-0.3333333333333339,1.0,6,48-201-0024;48-201-0026;48-201-0416;48-201-0417;48-201-1034;48-201-1052,8.743220857142855,8.180560357142857
Houston,2023,houston_2023-09-11,7.666666666666667,7.666666666666667,0.0,1.0,6,48-201-0024;48-201-0026;48-201-0055;48-201-0416;48-201-0417;48-201-1034,0.8750538809523816,0.5992968571428587
Houston,2024,houston_2024-06-06,9.0,3.5,5.5,0.9,2,48-201-0055;48-201-0416,6.711850392857149,4.599169428571431
Houston,2024,houston_2024-06-30,8.333333333333334,9.666666666666666,-1.3333333333333321,0.9,7,48-201-0026;48-201-0047;48-201-0416;48-201-0417;48-201-1034;48-201-1052;48-201-1066,-3.8886878095238098,-4.468772047619044
Houston,2024,houston_2024-07-09,1.5,9.5,-8.0,0.9,1,48-201-0417,-0.5963339999999988,-3.901360071428572
Houston,2024,houston_2024-09-18,9.666666666666666,10.0,-0.3333333333333339,1.0,9,48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,-0.3228498333333345,-0.33638473809523806
Houston,2025,houston_2025-07-23,10.0,10.0,0.0,1.0,9,48-201-0024;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1.442741821428573,1.2308643571428561
Houston,2025,houston_2025-08-17,10.0,10.0,0.0,1.0,10,48-201-0024;48-201-0026;48-201-0047;48-201-0055;48-201-0416;48-201-0417;48-201-1034;48-201-1035;48-201-1052;48-201-1066,1.4119053571428577,1.4119053571428575
Los Angeles,2019,los_angeles_2019-06-09,7.0,7.0,0.0,1.0,7,06-037-0113;06-037-1103;06-037-1302;06-037-1602;06-037-2005;06-037-4008;06-037-5005,8.719395357142858,8.719395357142858
